 IDnum	Rework_Decision	Logic_board_fail	IO_board_fail	System_State	Rework_Outcome	Rework_Cost
80	Logic_board	No	Yes	Failed	L1_IO0	0.428571
81	Logic_board	Yes	Yes	Failed	L0_IO0	1
82	Logic_board	Yes	No	Failed	L0_IO1	0.285714
83	Logic_board	No	No	Operational	L0_IO0	1
84	Logic_board	No	No	Operational	L0_IO0	1
85	IO_board	Yes	No	Failed	L0_IO1	0.571429
86	IO_board	No	Yes	Failed	L1_IO0	0
87	IO_board	Yes	No	Failed	L0_IO1	0.571429
88	Logic_board	Yes	No	Failed	L0_IO1	0.285714
89	IO_board	Yes	No	Failed	L0_IO1	0.571429
90	IO_board	No	No	Operational	L0_IO0	1
91	Logic_board	Yes	Yes	Failed	L0_IO0	1
92	IO_board	Yes	Yes	Failed	L0_IO0	1
93	Logic_board	Yes	Yes	Failed	L0_IO0	1
94	Logic_board	Yes	No	Failed	L0_IO1	0.285714
95	Logic_board	Yes	Yes	Failed	L0_IO0	1
96	IO_board	No	No	Operational	L0_IO0	1
97	Logic_board	No	No	Operational	L0_IO0	1
98	IO_board	Yes	No	Failed	L0_IO1	0.571429
99	IO_board	No	No	Operational	L0_IO0	1
100	IO_board	Yes	No	Failed	L0_IO1	0.571429
101	Logic_board	Yes	Yes	Failed	L0_IO0	1
102	Logic_board	Yes	No	Failed	L0_IO1	0.285714
103	IO_board	Yes	No	Failed	L0_IO1	0.571429
104	Logic_board	Yes	No	Failed	L0_IO1	0.285714
105	IO_board	Yes	No	Failed	L0_IO1	0.571429
106	IO_board	Yes	No	Failed	L0_IO1	0.571429
107	Logic_board	Yes	No	Failed	L0_IO1	0.285714
108	Logic_board	Yes	No	Failed	L0_IO1	0.285714
109	Logic_board	Yes	No	Failed	L0_IO1	0.285714
110	IO_board	Yes	No	Failed	L0_IO1	0.571429
111	IO_board	Yes	Yes	Failed	L0_IO0	1
112	Logic_board	Yes	No	Failed	L0_IO1	0.285714
113	Logic_board	Yes	No	Failed	L0_IO1	0.285714
114	IO_board	Yes	Yes	Failed	L0_IO0	1
115	Logic_board	Yes	No	Failed	L0_IO1	0.285714
116	Logic_board	No	Yes	Failed	L1_IO0	0.428571
117	IO_board	Yes	No	Failed	L0_IO1	0.571429
118	IO_board	Yes	No	Failed	L0_IO1	0.571429
119	Logic_board	Yes	No	Failed	L0_IO1	0.285714
120	IO_board	Yes	No	Failed	L0_IO1	0.571429
121	IO_board	No	No	Operational	L0_IO0	1
122	IO_board	Yes	No	Failed	L0_IO1	0.571429
123	IO_board	Yes	No	Failed	L0_IO1	0.571429
124	IO_board	Yes	No	Failed	L0_IO1	0.571429
125	IO_board	Yes	No	Failed	L0_IO1	0.571429
126	IO_board	No	No	Operational	L0_IO0	1
127	IO_board	Yes	No	Failed	L0_IO1	0.571429
128	IO_board	Yes	No	Failed	L0_IO1	0.571429
129	IO_board	Yes	No	Failed	L0_IO1	0.571429
130	Logic_board	Yes	No	Failed	L0_IO1	0.285714
131	IO_board	Yes	No	Failed	L0_IO1	0.571429
132	Logic_board	Yes	No	Failed	L0_IO1	0.285714
133	IO_board	Yes	Yes	Failed	L0_IO0	1
134	IO_board	No	Yes	Failed	L1_IO0	0
135	IO_board	No	No	Operational	L0_IO0	1
136	IO_board	Yes	No	Failed	L0_IO1	0.571429
137	Logic_board	Yes	No	Failed	L0_IO1	0.285714
138	Logic_board	Yes	No	Failed	L0_IO1	0.285714
139	Logic_board	Yes	No	Failed	L0_IO1	0.285714
140	Logic_board	Yes	No	Failed	L0_IO1	0.285714
141	IO_board	Yes	No	Failed	L0_IO1	0.571429
142	Logic_board	Yes	No	Failed	L0_IO1	0.285714
143	IO_board	Yes	No	Failed	L0_IO1	0.571429
144	Logic_board	Yes	Yes	Failed	L0_IO0	1
145	Logic_board	Yes	No	Failed	L0_IO1	0.285714
146	IO_board	Yes	No	Failed	L0_IO1	0.571429
147	IO_board	Yes	No	Failed	L0_IO1	0.571429
148	IO_board	Yes	No	Failed	L0_IO1	0.571429
149	IO_board	Yes	No	Failed	L0_IO1	0.571429
150	Logic_board	Yes	No	Failed	L0_IO1	0.285714
151	Logic_board	No	No	Operational	L0_IO0	1
152	IO_board	No	Yes	Failed	L1_IO0	0
153	IO_board	Yes	No	Failed	L0_IO1	0.571429
154	IO_board	Yes	No	Failed	L0_IO1	0.571429
155	Logic_board	No	No	Operational	L0_IO0	1
156	IO_board	Yes	No	Failed	L0_IO1	0.571429
157	IO_board	No	No	Operational	L0_IO0	1
158	Logic_board	Yes	Yes	Failed	L0_IO0	1
159	IO_board	Yes	No	Failed	L0_IO1	0.571429
160	IO_board	Yes	No	Failed	L0_IO1	0.571429
161	IO_board	Yes	No	Failed	L0_IO1	0.571429
162	Logic_board	No	No	Operational	L0_IO0	1
163	IO_board	Yes	Yes	Failed	L0_IO0	1
164	Logic_board	Yes	Yes	Failed	L0_IO0	1
165	Logic_board	No	No	Operational	L0_IO0	1
166	IO_board	Yes	Yes	Failed	L0_IO0	1
167	Logic_board	Yes	No	Failed	L0_IO1	0.285714
168	IO_board	Yes	No	Failed	L0_IO1	0.571429
169	IO_board	Yes	No	Failed	L0_IO1	0.571429
170	Logic_board	Yes	No	Failed	L0_IO1	0.285714
171	IO_board	Yes	No	Failed	L0_IO1	0.571429
172	Logic_board	Yes	No	Failed	L0_IO1	0.285714
173	IO_board	Yes	No	Failed	L0_IO1	0.571429
174	Logic_board	Yes	No	Failed	L0_IO1	0.285714
175	IO_board	No	No	Operational	L0_IO0	1
176	IO_board	No	No	Operational	L0_IO0	1
177	IO_board	Yes	No	Failed	L0_IO1	0.571429
178	IO_board	Yes	No	Failed	L0_IO1	0.571429
179	Logic_board	Yes	No	Failed	L0_IO1	0.285714
180	IO_board	Yes	Yes	Failed	L0_IO0	1
181	Logic_board	Yes	No	Failed	L0_IO1	0.285714
182	IO_board	Yes	No	Failed	L0_IO1	0.571429
183	Logic_board	Yes	No	Failed	L0_IO1	0.285714
184	IO_board	Yes	No	Failed	L0_IO1	0.571429
185	IO_board	Yes	No	Failed	L0_IO1	0.571429
186	Logic_board	Yes	No	Failed	L0_IO1	0.285714
187	Logic_board	Yes	No	Failed	L0_IO1	0.285714
188	Logic_board	Yes	No	Failed	L0_IO1	0.285714
189	Logic_board	No	No	Operational	L0_IO0	1
190	Logic_board	Yes	No	Failed	L0_IO1	0.285714
191	Logic_board	Yes	Yes	Failed	L0_IO0	1
192	IO_board	Yes	No	Failed	L0_IO1	0.571429
193	IO_board	Yes	No	Failed	L0_IO1	0.571429
194	Logic_board	Yes	No	Failed	L0_IO1	0.285714
195	Logic_board	Yes	No	Failed	L0_IO1	0.285714
196	Logic_board	Yes	No	Failed	L0_IO1	0.285714
197	IO_board	Yes	No	Failed	L0_IO1	0.571429
198	IO_board	No	No	Operational	L0_IO0	1
199	Logic_board	Yes	No	Failed	L0_IO1	0.285714
200	IO_board	No	No	Operational	L0_IO0	1
201	IO_board	Yes	No	Failed	L0_IO1	0.571429
202	Logic_board	Yes	No	Failed	L0_IO1	0.285714
203	IO_board	Yes	No	Failed	L0_IO1	0.571429
204	Logic_board	Yes	No	Failed	L0_IO1	0.285714
205	IO_board	Yes	No	Failed	L0_IO1	0.571429
206	Logic_board	Yes	No	Failed	L0_IO1	0.285714
207	Logic_board	Yes	Yes	Failed	L0_IO0	1
208	IO_board	Yes	No	Failed	L0_IO1	0.571429
209	Logic_board	Yes	No	Failed	L0_IO1	0.285714
210	Logic_board	Yes	No	Failed	L0_IO1	0.285714
211	IO_board	Yes	No	Failed	L0_IO1	0.571429
212	Logic_board	Yes	No	Failed	L0_IO1	0.285714
213	IO_board	Yes	No	Failed	L0_IO1	0.571429
214	IO_board	Yes	No	Failed	L0_IO1	0.571429
215	IO_board	Yes	No	Failed	L0_IO1	0.571429
216	Logic_board	Yes	No	Failed	L0_IO1	0.285714
217	Logic_board	Yes	No	Failed	L0_IO1	0.285714
218	Logic_board	Yes	No	Failed	L0_IO1	0.285714
219	IO_board	Yes	Yes	Failed	L0_IO0	1
220	Logic_board	Yes	No	Failed	L0_IO1	0.285714
221	Logic_board	Yes	No	Failed	L0_IO1	0.285714
222	IO_board	Yes	Yes	Failed	L0_IO0	1
223	Logic_board	Yes	No	Failed	L0_IO1	0.285714
224	IO_board	Yes	No	Failed	L0_IO1	0.571429
225	Logic_board	Yes	No	Failed	L0_IO1	0.285714
226	IO_board	Yes	Yes	Failed	L0_IO0	1
227	IO_board	Yes	No	Failed	L0_IO1	0.571429
228	IO_board	Yes	No	Failed	L0_IO1	0.571429
229	IO_board	Yes	No	Failed	L0_IO1	0.571429
230	IO_board	Yes	No	Failed	L0_IO1	0.571429
231	IO_board	Yes	No	Failed	L0_IO1	0.571429
232	IO_board	Yes	No	Failed	L0_IO1	0.571429
233	Logic_board	Yes	No	Failed	L0_IO1	0.285714
234	Logic_board	Yes	No	Failed	L0_IO1	0.285714
235	IO_board	Yes	No	Failed	L0_IO1	0.571429
236	IO_board	Yes	No	Failed	L0_IO1	0.571429
237	IO_board	Yes	No	Failed	L0_IO1	0.571429
238	IO_board	Yes	Yes	Failed	L0_IO0	1
239	Logic_board	Yes	No	Failed	L0_IO1	0.285714
240	IO_board	Yes	No	Failed	L0_IO1	0.571429
241	IO_board	Yes	No	Failed	L0_IO1	0.571429
242	IO_board	Yes	No	Failed	L0_IO1	0.571429
243	IO_board	Yes	No	Failed	L0_IO1	0.571429
244	IO_board	Yes	No	Failed	L0_IO1	0.571429
245	IO_board	Yes	No	Failed	L0_IO1	0.571429
246	IO_board	Yes	No	Failed	L0_IO1	0.571429
247	Logic_board	Yes	No	Failed	L0_IO1	0.285714
248	IO_board	Yes	No	Failed	L0_IO1	0.571429
249	IO_board	Yes	Yes	Failed	L0_IO0	1
250	Logic_board	Yes	No	Failed	L0_IO1	0.285714
251	IO_board	No	No	Operational	L0_IO0	1
252	IO_board	Yes	No	Failed	L0_IO1	0.571429
253	IO_board	Yes	No	Failed	L0_IO1	0.571429
254	Logic_board	Yes	No	Failed	L0_IO1	0.285714
255	Logic_board	Yes	No	Failed	L0_IO1	0.285714
256	IO_board	No	No	Operational	L0_IO0	1
257	IO_board	Yes	No	Failed	L0_IO1	0.571429
258	IO_board	Yes	Yes	Failed	L0_IO0	1
259	IO_board	Yes	No	Failed	L0_IO1	0.571429
260	Logic_board	Yes	No	Failed	L0_IO1	0.285714
261	Logic_board	Yes	No	Failed	L0_IO1	0.285714
262	IO_board	Yes	No	Failed	L0_IO1	0.571429
263	IO_board	Yes	No	Failed	L0_IO1	0.571429
264	Logic_board	Yes	No	Failed	L0_IO1	0.285714
265	Logic_board	No	No	Operational	L0_IO0	1
266	IO_board	Yes	No	Failed	L0_IO1	0.571429
267	Logic_board	Yes	No	Failed	L0_IO1	0.285714
268	IO_board	No	No	Operational	L0_IO0	1
269	IO_board	Yes	No	Failed	L0_IO1	0.571429
270	IO_board	Yes	No	Failed	L0_IO1	0.571429
271	Logic_board	Yes	No	Failed	L0_IO1	0.285714
272	IO_board	Yes	No	Failed	L0_IO1	0.571429
273	IO_board	Yes	No	Failed	L0_IO1	0.571429
274	IO_board	Yes	No	Failed	L0_IO1	0.571429
275	IO_board	Yes	No	Failed	L0_IO1	0.571429
276	Logic_board	Yes	No	Failed	L0_IO1	0.285714
277	IO_board	Yes	No	Failed	L0_IO1	0.571429
278	Logic_board	Yes	Yes	Failed	L0_IO0	1
279	Logic_board	Yes	No	Failed	L0_IO1	0.285714
280	IO_board	Yes	No	Failed	L0_IO1	0.571429
281	IO_board	Yes	No	Failed	L0_IO1	0.571429
282	Logic_board	Yes	No	Failed	L0_IO1	0.285714
283	Logic_board	No	No	Operational	L0_IO0	1
284	Logic_board	No	Yes	Failed	L1_IO0	0.428571
285	Logic_board	Yes	No	Failed	L0_IO1	0.285714
286	Logic_board	Yes	No	Failed	L0_IO1	0.285714
287	Logic_board	Yes	No	Failed	L0_IO1	0.285714
288	Logic_board	Yes	Yes	Failed	L0_IO0	1
289	Logic_board	Yes	No	Failed	L0_IO1	0.285714
290	IO_board	Yes	No	Failed	L0_IO1	0.571429
291	IO_board	No	No	Operational	L0_IO0	1
292	IO_board	Yes	No	Failed	L0_IO1	0.571429
293	IO_board	No	Yes	Failed	L1_IO0	0
294	IO_board	Yes	No	Failed	L0_IO1	0.571429
295	IO_board	Yes	No	Failed	L0_IO1	0.571429
296	IO_board	Yes	No	Failed	L0_IO1	0.571429
297	IO_board	Yes	No	Failed	L0_IO1	0.571429
298	Logic_board	No	No	Operational	L0_IO0	1
299	IO_board	Yes	No	Failed	L0_IO1	0.571429
300	IO_board	Yes	No	Failed	L0_IO1	0.571429
301	IO_board	Yes	No	Failed	L0_IO1	0.571429
302	Logic_board	Yes	Yes	Failed	L0_IO0	1
303	IO_board	Yes	No	Failed	L0_IO1	0.571429
304	IO_board	Yes	No	Failed	L0_IO1	0.571429
305	Logic_board	Yes	No	Failed	L0_IO1	0.285714
306	IO_board	Yes	No	Failed	L0_IO1	0.571429
307	IO_board	Yes	Yes	Failed	L0_IO0	1
308	IO_board	Yes	No	Failed	L0_IO1	0.571429
309	Logic_board	Yes	No	Failed	L0_IO1	0.285714
310	IO_board	Yes	No	Failed	L0_IO1	0.571429
311	Logic_board	No	No	Operational	L0_IO0	1
312	IO_board	Yes	No	Failed	L0_IO1	0.571429
313	IO_board	Yes	Yes	Failed	L0_IO0	1
314	IO_board	Yes	Yes	Failed	L0_IO0	1
315	IO_board	Yes	No	Failed	L0_IO1	0.571429
316	Logic_board	Yes	No	Failed	L0_IO1	0.285714
317	IO_board	Yes	No	Failed	L0_IO1	0.571429
318	Logic_board	Yes	No	Failed	L0_IO1	0.285714
319	IO_board	Yes	No	Failed	L0_IO1	0.571429
320	IO_board	No	Yes	Failed	L1_IO0	0
321	IO_board	Yes	No	Failed	L0_IO1	0.571429
322	IO_board	Yes	No	Failed	L0_IO1	0.571429
323	Logic_board	Yes	No	Failed	L0_IO1	0.285714
324	IO_board	Yes	Yes	Failed	L0_IO0	1
325	IO_board	Yes	No	Failed	L0_IO1	0.571429
326	Logic_board	Yes	No	Failed	L0_IO1	0.285714
327	Logic_board	Yes	Yes	Failed	L0_IO0	1
328	IO_board	Yes	No	Failed	L0_IO1	0.571429
329	IO_board	Yes	No	Failed	L0_IO1	0.571429
330	IO_board	Yes	No	Failed	L0_IO1	0.571429
331	Logic_board	Yes	No	Failed	L0_IO1	0.285714
332	IO_board	Yes	No	Failed	L0_IO1	0.571429
333	IO_board	Yes	No	Failed	L0_IO1	0.571429
334	Logic_board	Yes	No	Failed	L0_IO1	0.285714
335	Logic_board	No	No	Operational	L0_IO0	1
336	Logic_board	Yes	No	Failed	L0_IO1	0.285714
337	Logic_board	Yes	No	Failed	L0_IO1	0.285714
338	IO_board	Yes	No	Failed	L0_IO1	0.571429
339	Logic_board	Yes	No	Failed	L0_IO1	0.285714
340	IO_board	No	No	Operational	L0_IO0	1
341	Logic_board	Yes	No	Failed	L0_IO1	0.285714
342	IO_board	Yes	Yes	Failed	L0_IO0	1
343	IO_board	Yes	No	Failed	L0_IO1	0.571429
344	IO_board	No	No	Operational	L0_IO0	1
345	Logic_board	Yes	No	Failed	L0_IO1	0.285714
346	Logic_board	Yes	No	Failed	L0_IO1	0.285714
347	IO_board	No	No	Operational	L0_IO0	1
348	Logic_board	Yes	Yes	Failed	L0_IO0	1
349	IO_board	Yes	No	Failed	L0_IO1	0.571429
350	IO_board	Yes	Yes	Failed	L0_IO0	1
351	IO_board	Yes	No	Failed	L0_IO1	0.571429
352	IO_board	Yes	No	Failed	L0_IO1	0.571429
353	IO_board	Yes	No	Failed	L0_IO1	0.571429
354	Logic_board	Yes	No	Failed	L0_IO1	0.285714
355	Logic_board	Yes	No	Failed	L0_IO1	0.285714
356	Logic_board	Yes	No	Failed	L0_IO1	0.285714
357	IO_board	Yes	No	Failed	L0_IO1	0.571429
358	IO_board	No	No	Operational	L0_IO0	1
359	Logic_board	Yes	No	Failed	L0_IO1	0.285714
360	IO_board	Yes	No	Failed	L0_IO1	0.571429
361	Logic_board	Yes	No	Failed	L0_IO1	0.285714
362	Logic_board	Yes	Yes	Failed	L0_IO0	1
363	IO_board	Yes	No	Failed	L0_IO1	0.571429
364	Logic_board	Yes	No	Failed	L0_IO1	0.285714
365	IO_board	Yes	No	Failed	L0_IO1	0.571429
366	IO_board	Yes	No	Failed	L0_IO1	0.571429
367	IO_board	No	No	Operational	L0_IO0	1
368	Logic_board	Yes	Yes	Failed	L0_IO0	1
369	IO_board	No	Yes	Failed	L1_IO0	0
370	Logic_board	Yes	Yes	Failed	L0_IO0	1
371	IO_board	Yes	No	Failed	L0_IO1	0.571429
372	IO_board	Yes	No	Failed	L0_IO1	0.571429
373	Logic_board	Yes	No	Failed	L0_IO1	0.285714
374	Logic_board	No	No	Operational	L0_IO0	1
375	Logic_board	Yes	No	Failed	L0_IO1	0.285714
376	IO_board	No	Yes	Failed	L1_IO0	0
377	IO_board	Yes	Yes	Failed	L0_IO0	1
378	IO_board	Yes	No	Failed	L0_IO1	0.571429
379	IO_board	Yes	No	Failed	L0_IO1	0.571429
380	IO_board	Yes	No	Failed	L0_IO1	0.571429
381	IO_board	Yes	Yes	Failed	L0_IO0	1
382	IO_board	Yes	Yes	Failed	L0_IO0	1
383	IO_board	Yes	No	Failed	L0_IO1	0.571429
384	IO_board	Yes	No	Failed	L0_IO1	0.571429
385	Logic_board	Yes	Yes	Failed	L0_IO0	1
386	Logic_board	Yes	No	Failed	L0_IO1	0.285714
387	IO_board	Yes	No	Failed	L0_IO1	0.571429
388	Logic_board	Yes	No	Failed	L0_IO1	0.285714
389	IO_board	Yes	No	Failed	L0_IO1	0.571429
390	Logic_board	Yes	No	Failed	L0_IO1	0.285714
391	Logic_board	Yes	No	Failed	L0_IO1	0.285714
392	IO_board	Yes	No	Failed	L0_IO1	0.571429
393	IO_board	Yes	No	Failed	L0_IO1	0.571429
394	Logic_board	Yes	No	Failed	L0_IO1	0.285714
395	IO_board	Yes	No	Failed	L0_IO1	0.571429
396	Logic_board	Yes	No	Failed	L0_IO1	0.285714
397	IO_board	Yes	Yes	Failed	L0_IO0	1
398	Logic_board	Yes	No	Failed	L0_IO1	0.285714
399	IO_board	Yes	No	Failed	L0_IO1	0.571429
400	IO_board	Yes	Yes	Failed	L0_IO0	1
401	IO_board	Yes	Yes	Failed	L0_IO0	1
402	IO_board	Yes	No	Failed	L0_IO1	0.571429
403	Logic_board	Yes	No	Failed	L0_IO1	0.285714
404	IO_board	Yes	No	Failed	L0_IO1	0.571429
405	IO_board	Yes	Yes	Failed	L0_IO0	1
406	Logic_board	Yes	Yes	Failed	L0_IO0	1
407	Logic_board	Yes	No	Failed	L0_IO1	0.285714
408	Logic_board	Yes	No	Failed	L0_IO1	0.285714
409	IO_board	No	Yes	Failed	L1_IO0	0
410	IO_board	No	No	Operational	L0_IO0	1
411	IO_board	Yes	No	Failed	L0_IO1	0.571429
412	Logic_board	No	No	Operational	L0_IO0	1
413	IO_board	Yes	Yes	Failed	L0_IO0	1
414	Logic_board	Yes	No	Failed	L0_IO1	0.285714
415	Logic_board	No	No	Operational	L0_IO0	1
416	IO_board	Yes	No	Failed	L0_IO1	0.571429
417	IO_board	Yes	Yes	Failed	L0_IO0	1
418	Logic_board	Yes	No	Failed	L0_IO1	0.285714
419	Logic_board	Yes	No	Failed	L0_IO1	0.285714
420	IO_board	No	Yes	Failed	L1_IO0	0
421	Logic_board	Yes	No	Failed	L0_IO1	0.285714
422	Logic_board	Yes	No	Failed	L0_IO1	0.285714
423	IO_board	Yes	No	Failed	L0_IO1	0.571429
424	IO_board	Yes	No	Failed	L0_IO1	0.571429
425	IO_board	Yes	No	Failed	L0_IO1	0.571429
426	Logic_board	No	No	Operational	L0_IO0	1
427	IO_board	Yes	No	Failed	L0_IO1	0.571429
428	IO_board	Yes	No	Failed	L0_IO1	0.571429
429	Logic_board	Yes	No	Failed	L0_IO1	0.285714
430	IO_board	Yes	No	Failed	L0_IO1	0.571429
431	Logic_board	Yes	No	Failed	L0_IO1	0.285714
432	Logic_board	Yes	No	Failed	L0_IO1	0.285714
433	IO_board	Yes	Yes	Failed	L0_IO0	1
434	IO_board	Yes	No	Failed	L0_IO1	0.571429
435	IO_board	Yes	No	Failed	L0_IO1	0.571429
436	Logic_board	No	No	Operational	L0_IO0	1
437	IO_board	Yes	Yes	Failed	L0_IO0	1
438	Logic_board	Yes	No	Failed	L0_IO1	0.285714
439	Logic_board	Yes	No	Failed	L0_IO1	0.285714
440	Logic_board	Yes	Yes	Failed	L0_IO0	1
441	Logic_board	Yes	Yes	Failed	L0_IO0	1
442	Logic_board	Yes	Yes	Failed	L0_IO0	1
443	IO_board	Yes	No	Failed	L0_IO1	0.571429
444	IO_board	Yes	No	Failed	L0_IO1	0.571429
445	IO_board	Yes	Yes	Failed	L0_IO0	1
446	Logic_board	Yes	No	Failed	L0_IO1	0.285714
447	IO_board	Yes	No	Failed	L0_IO1	0.571429
448	IO_board	Yes	No	Failed	L0_IO1	0.571429
449	Logic_board	Yes	No	Failed	L0_IO1	0.285714
450	IO_board	Yes	No	Failed	L0_IO1	0.571429
451	Logic_board	Yes	No	Failed	L0_IO1	0.285714
452	IO_board	Yes	No	Failed	L0_IO1	0.571429
453	IO_board	Yes	No	Failed	L0_IO1	0.571429
454	Logic_board	Yes	No	Failed	L0_IO1	0.285714
455	Logic_board	Yes	Yes	Failed	L0_IO0	1
456	Logic_board	Yes	No	Failed	L0_IO1	0.285714
457	Logic_board	Yes	No	Failed	L0_IO1	0.285714
458	Logic_board	Yes	No	Failed	L0_IO1	0.285714
459	IO_board	Yes	No	Failed	L0_IO1	0.571429
460	IO_board	No	Yes	Failed	L1_IO0	0
461	Logic_board	Yes	No	Failed	L0_IO1	0.285714
462	Logic_board	Yes	Yes	Failed	L0_IO0	1
463	Logic_board	Yes	Yes	Failed	L0_IO0	1
464	IO_board	Yes	No	Failed	L0_IO1	0.571429
465	IO_board	Yes	No	Failed	L0_IO1	0.571429
466	IO_board	Yes	No	Failed	L0_IO1	0.571429
467	IO_board	Yes	No	Failed	L0_IO1	0.571429
468	IO_board	Yes	Yes	Failed	L0_IO0	1
469	Logic_board	Yes	No	Failed	L0_IO1	0.285714
470	Logic_board	Yes	No	Failed	L0_IO1	0.285714
471	Logic_board	Yes	No	Failed	L0_IO1	0.285714
472	Logic_board	No	Yes	Failed	L1_IO0	0.428571
473	IO_board	Yes	No	Failed	L0_IO1	0.571429
474	IO_board	Yes	No	Failed	L0_IO1	0.571429
475	Logic_board	Yes	No	Failed	L0_IO1	0.285714
476	IO_board	Yes	No	Failed	L0_IO1	0.571429
477	Logic_board	Yes	No	Failed	L0_IO1	0.285714
478	Logic_board	Yes	No	Failed	L0_IO1	0.285714
479	IO_board	Yes	No	Failed	L0_IO1	0.571429
480	Logic_board	Yes	No	Failed	L0_IO1	0.285714
481	Logic_board	No	No	Operational	L0_IO0	1
482	Logic_board	Yes	No	Failed	L0_IO1	0.285714
483	IO_board	Yes	No	Failed	L0_IO1	0.571429
