 IDnum	Installation_Type	Coal_Worker_Strike	Strike_Resolution	Strike_Intervention	Additional_Cost
141	New_cleaner_coal	Yes	Quick	Yes	0.4
142	Install_scrubbers	Yes	Quick	Yes	0.7
143	Install_scrubbers	Yes	Quick	Yes	0.7
144	Install_scrubbers	No	Quick	Yes	0.7
145	Install_scrubbers	Yes	Quick	No	0.7
146	New_cleaner_coal	Yes	Quick	No	0.7
147	New_cleaner_coal	Yes	Quick	No	0.7
148	New_cleaner_coal	No	Quick	No	1
149	New_cleaner_coal	Yes	Quick	Yes	0.4
150	New_cleaner_coal	No	Lengthy	No	1
151	New_cleaner_coal	No	Quick	Yes	1
152	New_cleaner_coal	No	Quick	No	1
153	Install_scrubbers	Yes	Lengthy	No	0.7
154	New_cleaner_coal	Yes	Quick	No	0.7
155	Install_scrubbers	No	Quick	No	0.7
156	Install_scrubbers	No	Quick	No	0.7
157	New_cleaner_coal	No	Quick	No	1
158	New_cleaner_coal	No	Quick	Yes	1
159	New_cleaner_coal	Yes	Quick	Yes	0.4
160	New_cleaner_coal	Yes	Lengthy	No	0.3
161	New_cleaner_coal	No	Quick	No	1
162	Install_scrubbers	No	Quick	No	0.7
163	New_cleaner_coal	No	Quick	Yes	1
164	Install_scrubbers	Yes	Quick	No	0.7
165	New_cleaner_coal	No	Quick	No	1
166	Install_scrubbers	Yes	Quick	No	0.7
167	New_cleaner_coal	Yes	Quick	Yes	0.4
168	Install_scrubbers	No	Quick	Yes	0.7
169	Install_scrubbers	Yes	Lengthy	No	0.7
170	Install_scrubbers	Yes	Lengthy	No	0.7
171	Install_scrubbers	No	Lengthy	No	0.7
172	New_cleaner_coal	Yes	Quick	No	0.7
173	Install_scrubbers	No	Quick	Yes	0.7
174	New_cleaner_coal	Yes	Quick	Yes	0.4
175	New_cleaner_coal	No	Quick	No	1
176	New_cleaner_coal	No	Quick	No	1
177	New_cleaner_coal	Yes	Quick	Yes	0.4
178	Install_scrubbers	Yes	Quick	Yes	0.7
179	New_cleaner_coal	Yes	Quick	No	0.7
180	Install_scrubbers	Yes	Quick	No	0.7
181	Install_scrubbers	Yes	Quick	Yes	0.7
182	New_cleaner_coal	Yes	Quick	Yes	0.4
183	New_cleaner_coal	Yes	Quick	No	0.7
184	New_cleaner_coal	Yes	Quick	Yes	0.4
185	New_cleaner_coal	Yes	Quick	Yes	0.4
186	New_cleaner_coal	No	Quick	No	1
187	Install_scrubbers	Yes	Quick	Yes	0.7
188	Install_scrubbers	Yes	Quick	No	0.7
189	New_cleaner_coal	No	Lengthy	No	1
190	New_cleaner_coal	No	Quick	No	1
191	New_cleaner_coal	Yes	Quick	No	0.7
192	New_cleaner_coal	No	Quick	No	1
193	Install_scrubbers	Yes	Quick	Yes	0.7
194	New_cleaner_coal	No	Quick	Yes	1
195	New_cleaner_coal	Yes	Quick	Yes	0.4
196	Install_scrubbers	No	Quick	No	0.7
197	New_cleaner_coal	Yes	Quick	Yes	0.4
198	New_cleaner_coal	No	Quick	Yes	1
199	New_cleaner_coal	Yes	Quick	Yes	0.4
200	New_cleaner_coal	No	Lengthy	No	1
201	New_cleaner_coal	Yes	Lengthy	No	0.3
202	Install_scrubbers	Yes	Lengthy	No	0.7
203	New_cleaner_coal	No	Lengthy	Yes	1
204	Install_scrubbers	Yes	Quick	Yes	0.7
205	New_cleaner_coal	Yes	Lengthy	No	0.3
206	New_cleaner_coal	Yes	Quick	Yes	0.4
207	New_cleaner_coal	Yes	Quick	Yes	0.4
208	Install_scrubbers	Yes	Lengthy	No	0.7
209	New_cleaner_coal	Yes	Quick	Yes	0.4
210	Install_scrubbers	No	Lengthy	No	0.7
211	Install_scrubbers	Yes	Quick	Yes	0.7
212	New_cleaner_coal	Yes	Quick	No	0.7
213	New_cleaner_coal	Yes	Quick	Yes	0.4
214	New_cleaner_coal	Yes	Quick	No	0.7
215	Install_scrubbers	Yes	Lengthy	No	0.7
216	Install_scrubbers	Yes	Quick	Yes	0.7
217	New_cleaner_coal	Yes	Lengthy	No	0.3
218	New_cleaner_coal	Yes	Quick	Yes	0.4
219	New_cleaner_coal	Yes	Quick	Yes	0.4
220	Install_scrubbers	No	Quick	Yes	0.7
221	Install_scrubbers	Yes	Quick	Yes	0.7
222	New_cleaner_coal	Yes	Quick	No	0.7
223	New_cleaner_coal	No	Quick	Yes	1
224	New_cleaner_coal	Yes	Quick	No	0.7
225	Install_scrubbers	Yes	Quick	No	0.7
226	Install_scrubbers	No	Quick	No	0.7
227	New_cleaner_coal	Yes	Quick	Yes	0.4
228	Install_scrubbers	Yes	Quick	Yes	0.7
229	Install_scrubbers	Yes	Quick	Yes	0.7
230	New_cleaner_coal	Yes	Quick	No	0.7
231	Install_scrubbers	Yes	Lengthy	Yes	0.7
232	Install_scrubbers	No	Lengthy	No	0.7
233	New_cleaner_coal	No	Quick	No	1
234	New_cleaner_coal	Yes	Lengthy	No	0.3
235	Install_scrubbers	No	Quick	Yes	0.7
236	Install_scrubbers	Yes	Quick	Yes	0.7
237	New_cleaner_coal	Yes	Quick	No	0.7
238	Install_scrubbers	Yes	Quick	No	0.7
239	Install_scrubbers	No	Quick	Yes	0.7
240	New_cleaner_coal	Yes	Quick	Yes	0.4
241	Install_scrubbers	Yes	Quick	Yes	0.7
242	New_cleaner_coal	No	Quick	No	1
243	New_cleaner_coal	Yes	Lengthy	No	0.3
244	Install_scrubbers	Yes	Quick	No	0.7
245	New_cleaner_coal	Yes	Lengthy	Yes	0
246	Install_scrubbers	No	Lengthy	No	0.7
247	New_cleaner_coal	Yes	Lengthy	Yes	0
248	New_cleaner_coal	Yes	Lengthy	Yes	0
249	New_cleaner_coal	Yes	Quick	Yes	0.4
250	New_cleaner_coal	Yes	Lengthy	No	0.3
251	New_cleaner_coal	No	Lengthy	No	1
252	New_cleaner_coal	No	Quick	No	1
253	New_cleaner_coal	Yes	Quick	No	0.7
254	Install_scrubbers	Yes	Lengthy	No	0.7
255	New_cleaner_coal	Yes	Quick	Yes	0.4
256	Install_scrubbers	No	Lengthy	No	0.7
257	Install_scrubbers	No	Quick	No	0.7
258	New_cleaner_coal	Yes	Quick	No	0.7
259	New_cleaner_coal	Yes	Quick	Yes	0.4
260	Install_scrubbers	Yes	Lengthy	No	0.7
261	Install_scrubbers	Yes	Lengthy	No	0.7
262	New_cleaner_coal	No	Lengthy	No	1
263	New_cleaner_coal	Yes	Quick	Yes	0.4
264	New_cleaner_coal	No	Quick	Yes	1
265	Install_scrubbers	No	Quick	No	0.7
266	Install_scrubbers	Yes	Quick	No	0.7
267	New_cleaner_coal	Yes	Quick	No	0.7
268	New_cleaner_coal	No	Lengthy	No	1
269	New_cleaner_coal	Yes	Quick	Yes	0.4
270	New_cleaner_coal	No	Quick	Yes	1
271	New_cleaner_coal	No	Quick	No	1
272	New_cleaner_coal	Yes	Quick	Yes	0.4
273	New_cleaner_coal	Yes	Lengthy	No	0.3
274	New_cleaner_coal	Yes	Quick	No	0.7
275	New_cleaner_coal	Yes	Quick	No	0.7
276	Install_scrubbers	Yes	Quick	Yes	0.7
277	New_cleaner_coal	Yes	Quick	Yes	0.4
278	New_cleaner_coal	Yes	Quick	No	0.7
279	Install_scrubbers	Yes	Quick	Yes	0.7
280	Install_scrubbers	Yes	Quick	No	0.7
281	New_cleaner_coal	Yes	Quick	Yes	0.4
282	Install_scrubbers	Yes	Lengthy	No	0.7
283	Install_scrubbers	No	Lengthy	Yes	0.7
284	Install_scrubbers	No	Quick	No	0.7
285	Install_scrubbers	Yes	Quick	No	0.7
286	New_cleaner_coal	No	Quick	No	1
287	Install_scrubbers	Yes	Quick	Yes	0.7
288	New_cleaner_coal	No	Quick	Yes	1
289	New_cleaner_coal	No	Quick	No	1
290	New_cleaner_coal	Yes	Quick	No	0.7
291	Install_scrubbers	No	Quick	Yes	0.7
292	New_cleaner_coal	No	Quick	Yes	1
293	Install_scrubbers	No	Quick	No	0.7
294	Install_scrubbers	No	Lengthy	No	0.7
295	New_cleaner_coal	No	Quick	Yes	1
296	New_cleaner_coal	No	Quick	No	1
297	Install_scrubbers	Yes	Quick	No	0.7
298	New_cleaner_coal	No	Quick	Yes	1
299	New_cleaner_coal	Yes	Lengthy	No	0.3
300	Install_scrubbers	Yes	Quick	No	0.7
301	Install_scrubbers	No	Quick	No	0.7
302	Install_scrubbers	Yes	Quick	Yes	0.7
303	New_cleaner_coal	Yes	Quick	Yes	0.4
304	Install_scrubbers	Yes	Quick	No	0.7
305	Install_scrubbers	Yes	Quick	Yes	0.7
306	Install_scrubbers	Yes	Quick	Yes	0.7
307	Install_scrubbers	Yes	Quick	No	0.7
308	Install_scrubbers	Yes	Lengthy	No	0.7
309	Install_scrubbers	Yes	Quick	Yes	0.7
310	New_cleaner_coal	Yes	Quick	Yes	0.4
311	New_cleaner_coal	No	Quick	No	1
312	Install_scrubbers	Yes	Quick	Yes	0.7
313	New_cleaner_coal	Yes	Quick	Yes	0.4
314	Install_scrubbers	No	Quick	No	0.7
315	New_cleaner_coal	Yes	Lengthy	No	0.3
316	Install_scrubbers	Yes	Quick	No	0.7
317	Install_scrubbers	Yes	Quick	Yes	0.7
318	New_cleaner_coal	Yes	Quick	No	0.7
319	New_cleaner_coal	Yes	Lengthy	No	0.3
320	Install_scrubbers	No	Quick	Yes	0.7
321	New_cleaner_coal	Yes	Quick	Yes	0.4
322	Install_scrubbers	Yes	Quick	Yes	0.7
323	Install_scrubbers	No	Quick	No	0.7
324	Install_scrubbers	Yes	Quick	No	0.7
325	New_cleaner_coal	Yes	Lengthy	No	0.3
326	New_cleaner_coal	Yes	Quick	Yes	0.4
327	New_cleaner_coal	Yes	Quick	No	0.7
328	New_cleaner_coal	Yes	Lengthy	No	0.3
329	New_cleaner_coal	Yes	Quick	No	0.7
330	Install_scrubbers	Yes	Quick	No	0.7
331	New_cleaner_coal	Yes	Quick	No	0.7
332	Install_scrubbers	No	Quick	Yes	0.7
333	New_cleaner_coal	No	Quick	No	1
334	Install_scrubbers	No	Quick	No	0.7
335	New_cleaner_coal	No	Quick	Yes	1
336	Install_scrubbers	Yes	Quick	No	0.7
337	New_cleaner_coal	No	Quick	Yes	1
338	New_cleaner_coal	Yes	Quick	No	0.7
339	Install_scrubbers	Yes	Quick	Yes	0.7
340	New_cleaner_coal	No	Quick	No	1
341	Install_scrubbers	Yes	Quick	Yes	0.7
342	New_cleaner_coal	No	Quick	No	1
343	Install_scrubbers	Yes	Quick	No	0.7
344	Install_scrubbers	No	Quick	Yes	0.7
345	Install_scrubbers	Yes	Quick	Yes	0.7
346	Install_scrubbers	No	Quick	Yes	0.7
347	New_cleaner_coal	No	Quick	No	1
348	New_cleaner_coal	Yes	Quick	Yes	0.4
349	New_cleaner_coal	No	Quick	Yes	1
350	Install_scrubbers	No	Quick	Yes	0.7
351	Install_scrubbers	Yes	Quick	Yes	0.7
352	New_cleaner_coal	Yes	Quick	Yes	0.4
353	Install_scrubbers	No	Lengthy	No	0.7
354	Install_scrubbers	Yes	Quick	Yes	0.7
355	Install_scrubbers	Yes	Quick	Yes	0.7
356	Install_scrubbers	Yes	Lengthy	No	0.7
357	Install_scrubbers	Yes	Quick	Yes	0.7
358	New_cleaner_coal	No	Lengthy	No	1
359	New_cleaner_coal	Yes	Quick	No	0.7
360	New_cleaner_coal	Yes	Quick	No	0.7
361	New_cleaner_coal	Yes	Quick	Yes	0.4
362	Install_scrubbers	No	Quick	No	0.7
363	Install_scrubbers	Yes	Quick	No	0.7
364	Install_scrubbers	No	Quick	Yes	0.7
365	Install_scrubbers	Yes	Quick	No	0.7
366	New_cleaner_coal	Yes	Lengthy	No	0.3
367	Install_scrubbers	No	Lengthy	No	0.7
368	New_cleaner_coal	Yes	Quick	Yes	0.4
369	Install_scrubbers	No	Quick	No	0.7
370	New_cleaner_coal	Yes	Quick	Yes	0.4
371	Install_scrubbers	Yes	Quick	No	0.7
372	Install_scrubbers	Yes	Lengthy	No	0.7
373	Install_scrubbers	Yes	Lengthy	No	0.7
374	New_cleaner_coal	No	Quick	Yes	1
375	Install_scrubbers	Yes	Quick	No	0.7
376	New_cleaner_coal	No	Quick	Yes	1
377	New_cleaner_coal	Yes	Quick	No	0.7
378	Install_scrubbers	Yes	Quick	Yes	0.7
379	New_cleaner_coal	Yes	Quick	Yes	0.4
380	New_cleaner_coal	No	Quick	Yes	1
381	New_cleaner_coal	No	Quick	No	1
382	Install_scrubbers	Yes	Quick	No	0.7
383	New_cleaner_coal	Yes	Quick	Yes	0.4
384	Install_scrubbers	Yes	Quick	Yes	0.7
385	New_cleaner_coal	Yes	Quick	Yes	0.4
386	New_cleaner_coal	No	Quick	No	1
387	New_cleaner_coal	Yes	Quick	No	0.7
388	Install_scrubbers	No	Quick	Yes	0.7
389	Install_scrubbers	Yes	Quick	Yes	0.7
390	Install_scrubbers	Yes	Quick	Yes	0.7
391	Install_scrubbers	Yes	Quick	Yes	0.7
392	New_cleaner_coal	Yes	Quick	No	0.7
393	New_cleaner_coal	Yes	Quick	No	0.7
394	New_cleaner_coal	Yes	Quick	Yes	0.4
395	Install_scrubbers	No	Quick	Yes	0.7
396	Install_scrubbers	Yes	Quick	No	0.7
397	New_cleaner_coal	Yes	Quick	No	0.7
398	New_cleaner_coal	Yes	Quick	No	0.7
399	Install_scrubbers	No	Quick	Yes	0.7
400	Install_scrubbers	Yes	Quick	Yes	0.7
401	New_cleaner_coal	No	Quick	Yes	1
402	Install_scrubbers	Yes	Quick	No	0.7
403	Install_scrubbers	Yes	Quick	Yes	0.7
404	New_cleaner_coal	Yes	Quick	No	0.7
405	Install_scrubbers	Yes	Quick	Yes	0.7
406	Install_scrubbers	Yes	Quick	Yes	0.7
407	Install_scrubbers	No	Quick	Yes	0.7
408	New_cleaner_coal	Yes	Quick	Yes	0.4
409	New_cleaner_coal	No	Quick	Yes	1
410	New_cleaner_coal	No	Quick	Yes	1
411	Install_scrubbers	Yes	Quick	No	0.7
412	Install_scrubbers	No	Lengthy	No	0.7
413	New_cleaner_coal	Yes	Quick	No	0.7
414	Install_scrubbers	No	Quick	No	0.7
415	Install_scrubbers	No	Quick	No	0.7
416	New_cleaner_coal	No	Quick	Yes	1
417	New_cleaner_coal	Yes	Quick	Yes	0.4
418	Install_scrubbers	Yes	Lengthy	No	0.7
419	Install_scrubbers	Yes	Quick	No	0.7
420	New_cleaner_coal	No	Quick	Yes	1
421	Install_scrubbers	Yes	Lengthy	No	0.7
422	Install_scrubbers	No	Quick	Yes	0.7
423	Install_scrubbers	Yes	Lengthy	No	0.7
424	New_cleaner_coal	Yes	Quick	No	0.7
425	New_cleaner_coal	Yes	Quick	Yes	0.4
426	Install_scrubbers	No	Quick	Yes	0.7
427	New_cleaner_coal	Yes	Quick	No	0.7
428	Install_scrubbers	Yes	Quick	Yes	0.7
429	Install_scrubbers	No	Lengthy	No	0.7
430	Install_scrubbers	Yes	Quick	Yes	0.7
431	New_cleaner_coal	No	Quick	Yes	1
432	New_cleaner_coal	Yes	Lengthy	No	0.3
433	New_cleaner_coal	Yes	Quick	Yes	0.4
434	Install_scrubbers	Yes	Lengthy	Yes	0.7
435	Install_scrubbers	No	Quick	No	0.7
436	Install_scrubbers	No	Quick	Yes	0.7
437	New_cleaner_coal	Yes	Quick	Yes	0.4
438	Install_scrubbers	Yes	Quick	No	0.7
439	New_cleaner_coal	Yes	Quick	Yes	0.4
440	Install_scrubbers	Yes	Quick	No	0.7
441	New_cleaner_coal	Yes	Quick	Yes	0.4
442	New_cleaner_coal	Yes	Quick	No	0.7
443	Install_scrubbers	Yes	Lengthy	No	0.7
444	Install_scrubbers	No	Quick	No	0.7
445	Install_scrubbers	Yes	Quick	No	0.7
446	Install_scrubbers	Yes	Quick	Yes	0.7
447	New_cleaner_coal	Yes	Quick	No	0.7
448	Install_scrubbers	No	Quick	Yes	0.7
449	Install_scrubbers	No	Quick	No	0.7
450	Install_scrubbers	Yes	Quick	Yes	0.7
451	New_cleaner_coal	Yes	Quick	No	0.7
452	Install_scrubbers	Yes	Quick	No	0.7
453	Install_scrubbers	Yes	Quick	Yes	0.7
454	Install_scrubbers	Yes	Quick	No	0.7
455	Install_scrubbers	No	Quick	No	0.7
456	New_cleaner_coal	Yes	Quick	Yes	0.4
457	Install_scrubbers	Yes	Quick	No	0.7
458	New_cleaner_coal	Yes	Quick	Yes	0.4
459	Install_scrubbers	Yes	Lengthy	No	0.7
460	New_cleaner_coal	No	Quick	Yes	1
461	New_cleaner_coal	Yes	Lengthy	No	0.3
462	Install_scrubbers	No	Quick	No	0.7
463	Install_scrubbers	No	Quick	No	0.7
464	Install_scrubbers	Yes	Lengthy	No	0.7
465	New_cleaner_coal	Yes	Lengthy	No	0.3
466	Install_scrubbers	No	Quick	Yes	0.7
467	New_cleaner_coal	Yes	Quick	No	0.7
468	Install_scrubbers	Yes	Quick	Yes	0.7
469	New_cleaner_coal	Yes	Quick	Yes	0.4
470	New_cleaner_coal	No	Quick	Yes	1
471	New_cleaner_coal	Yes	Lengthy	No	0.3
472	New_cleaner_coal	No	Quick	Yes	1
473	New_cleaner_coal	Yes	Quick	Yes	0.4
474	New_cleaner_coal	Yes	Quick	No	0.7
475	Install_scrubbers	Yes	Quick	No	0.7
476	Install_scrubbers	No	Quick	Yes	0.7
477	Install_scrubbers	Yes	Quick	Yes	0.7
478	Install_scrubbers	No	Quick	No	0.7
479	New_cleaner_coal	No	Quick	Yes	1
480	Install_scrubbers	No	Quick	Yes	0.7
481	New_cleaner_coal	No	Lengthy	No	1
482	New_cleaner_coal	Yes	Quick	Yes	0.4
483	Install_scrubbers	Yes	Quick	No	0.7
484	New_cleaner_coal	No	Quick	Yes	1
485	Install_scrubbers	Yes	Lengthy	Yes	0.7
486	Install_scrubbers	No	Quick	Yes	0.7
487	New_cleaner_coal	Yes	Quick	No	0.7
488	New_cleaner_coal	No	Quick	No	1
489	Install_scrubbers	No	Quick	Yes	0.7
490	Install_scrubbers	No	Quick	No	0.7
491	New_cleaner_coal	No	Lengthy	No	1
492	New_cleaner_coal	No	Quick	No	1
493	New_cleaner_coal	Yes	Quick	Yes	0.4
494	New_cleaner_coal	Yes	Quick	No	0.7
495	Install_scrubbers	Yes	Quick	Yes	0.7
496	New_cleaner_coal	Yes	Quick	No	0.7
497	New_cleaner_coal	No	Quick	No	1
498	New_cleaner_coal	Yes	Lengthy	No	0.3
499	New_cleaner_coal	No	Lengthy	No	1
500	New_cleaner_coal	Yes	Quick	Yes	0.4
501	New_cleaner_coal	No	Quick	No	1
502	Install_scrubbers	No	Quick	Yes	0.7
503	Install_scrubbers	Yes	Quick	No	0.7
504	New_cleaner_coal	Yes	Quick	No	0.7
505	Install_scrubbers	Yes	Quick	Yes	0.7
506	New_cleaner_coal	No	Lengthy	No	1
507	New_cleaner_coal	Yes	Lengthy	No	0.3
508	New_cleaner_coal	Yes	Quick	Yes	0.4
509	Install_scrubbers	No	Quick	No	0.7
510	New_cleaner_coal	Yes	Quick	Yes	0.4
511	Install_scrubbers	Yes	Lengthy	No	0.7
512	Install_scrubbers	Yes	Quick	No	0.7
513	New_cleaner_coal	Yes	Lengthy	No	0.3
514	Install_scrubbers	Yes	Lengthy	No	0.7
515	New_cleaner_coal	Yes	Lengthy	Yes	0
516	New_cleaner_coal	Yes	Lengthy	No	0.3
517	New_cleaner_coal	Yes	Quick	Yes	0.4
518	Install_scrubbers	Yes	Quick	Yes	0.7
519	New_cleaner_coal	No	Quick	No	1
520	New_cleaner_coal	No	Quick	No	1
521	New_cleaner_coal	No	Lengthy	No	1
522	Install_scrubbers	No	Quick	No	0.7
523	New_cleaner_coal	Yes	Quick	No	0.7
524	Install_scrubbers	No	Lengthy	No	0.7
525	New_cleaner_coal	Yes	Quick	Yes	0.4
526	New_cleaner_coal	Yes	Quick	No	0.7
527	Install_scrubbers	Yes	Quick	Yes	0.7
528	New_cleaner_coal	Yes	Quick	Yes	0.4
529	Install_scrubbers	Yes	Quick	No	0.7
530	Install_scrubbers	Yes	Quick	Yes	0.7
531	New_cleaner_coal	Yes	Lengthy	No	0.3
532	Install_scrubbers	Yes	Lengthy	No	0.7
533	New_cleaner_coal	Yes	Quick	Yes	0.4
534	Install_scrubbers	No	Quick	Yes	0.7
535	New_cleaner_coal	Yes	Quick	No	0.7
536	New_cleaner_coal	Yes	Quick	Yes	0.4
537	New_cleaner_coal	Yes	Quick	No	0.7
538	Install_scrubbers	Yes	Quick	No	0.7
539	New_cleaner_coal	No	Quick	No	1
540	New_cleaner_coal	Yes	Quick	Yes	0.4
541	Install_scrubbers	No	Quick	Yes	0.7
