 IDnum	Economical_State	Export_Decision	U
195	Severely_bad	Now	0
196	Severely_bad	Now	0
197	Slightly_worse	Now	0.750073
198	Severely_bad	After_6_mos	0.468323
199	Same	After_6_mos	0.892473
200	Same	Now	1
201	Same	After_6_mos	0.892473
202	Slightly_worse	After_12_mos	0.622203
203	Severely_bad	After_12_mos	0.429236
204	Severely_bad	Now	0
205	Same	After_6_mos	0.892473
206	Same	After_12_mos	0.267655
207	Same	Now	1
208	Same	After_12_mos	0.267655
209	Slightly_worse	After_6_mos	0.697762
210	Severely_bad	After_6_mos	0.468323
211	Slightly_worse	Now	0.750073
212	Severely_bad	After_6_mos	0.468323
213	Same	After_6_mos	0.892473
214	Same	After_6_mos	0.892473
215	Severely_bad	After_12_mos	0.429236
216	Same	After_12_mos	0.267655
217	Severely_bad	Now	0
218	Same	After_6_mos	0.892473
219	Same	After_6_mos	0.892473
220	Same	After_6_mos	0.892473
221	Same	Now	1
222	Severely_bad	After_12_mos	0.429236
223	Severely_bad	After_12_mos	0.429236
224	Slightly_worse	After_12_mos	0.622203
225	Same	After_6_mos	0.892473
226	Same	Now	1
227	Severely_bad	After_6_mos	0.468323
228	Same	After_6_mos	0.892473
229	Same	After_6_mos	0.892473
230	Same	After_6_mos	0.892473
231	Severely_bad	After_12_mos	0.429236
232	Same	After_6_mos	0.892473
233	Slightly_worse	After_6_mos	0.697762
234	Same	After_6_mos	0.892473
235	Slightly_worse	After_12_mos	0.622203
236	Severely_bad	After_12_mos	0.429236
237	Slightly_worse	After_12_mos	0.622203
238	Same	Now	1
239	Same	After_6_mos	0.892473
240	Severely_bad	Now	0
241	Same	Now	1
242	Slightly_worse	After_6_mos	0.697762
243	Slightly_worse	After_12_mos	0.622203
244	Same	After_12_mos	0.267655
245	Slightly_worse	Now	0.750073
246	Same	After_6_mos	0.892473
247	Same	After_12_mos	0.267655
248	Same	After_12_mos	0.267655
249	Slightly_worse	Now	0.750073
250	Slightly_worse	After_12_mos	0.622203
251	Same	Now	1
252	Slightly_worse	After_12_mos	0.622203
253	Same	Now	1
254	Same	After_12_mos	0.267655
255	Slightly_worse	After_12_mos	0.622203
256	Same	After_6_mos	0.892473
257	Same	After_12_mos	0.267655
258	Slightly_worse	After_6_mos	0.697762
259	Severely_bad	After_12_mos	0.429236
260	Same	After_6_mos	0.892473
261	Slightly_worse	After_12_mos	0.622203
262	Slightly_worse	After_12_mos	0.622203
263	Same	Now	1
264	Severely_bad	After_6_mos	0.468323
265	Same	After_6_mos	0.892473
266	Severely_bad	After_12_mos	0.429236
267	Slightly_worse	Now	0.750073
268	Same	After_12_mos	0.267655
269	Same	After_12_mos	0.267655
270	Same	After_6_mos	0.892473
271	Severely_bad	After_6_mos	0.468323
272	Slightly_worse	Now	0.750073
273	Same	Now	1
274	Same	After_6_mos	0.892473
275	Slightly_worse	Now	0.750073
276	Slightly_worse	Now	0.750073
277	Severely_bad	Now	0
278	Severely_bad	After_6_mos	0.468323
279	Severely_bad	Now	0
280	Severely_bad	Now	0
281	Severely_bad	After_12_mos	0.429236
282	Severely_bad	After_12_mos	0.429236
283	Same	After_12_mos	0.267655
284	Same	Now	1
285	Same	After_6_mos	0.892473
286	Same	After_12_mos	0.267655
287	Same	After_6_mos	0.892473
288	Same	Now	1
289	Same	After_6_mos	0.892473
290	Severely_bad	After_6_mos	0.468323
291	Same	Now	1
292	Slightly_worse	After_6_mos	0.697762
293	Same	After_12_mos	0.267655
294	Same	After_6_mos	0.892473
295	Same	After_12_mos	0.267655
296	Severely_bad	After_12_mos	0.429236
297	Severely_bad	Now	0
298	Same	After_6_mos	0.892473
299	Severely_bad	Now	0
300	Slightly_worse	After_6_mos	0.697762
301	Slightly_worse	Now	0.750073
302	Same	After_6_mos	0.892473
303	Severely_bad	After_12_mos	0.429236
304	Severely_bad	After_12_mos	0.429236
305	Slightly_worse	After_12_mos	0.622203
306	Slightly_worse	Now	0.750073
307	Severely_bad	After_6_mos	0.468323
308	Severely_bad	After_12_mos	0.429236
309	Slightly_worse	After_12_mos	0.622203
310	Same	After_12_mos	0.267655
311	Slightly_worse	After_12_mos	0.622203
312	Same	Now	1
313	Severely_bad	After_6_mos	0.468323
314	Same	After_12_mos	0.267655
315	Severely_bad	After_6_mos	0.468323
316	Slightly_worse	After_6_mos	0.697762
317	Severely_bad	After_6_mos	0.468323
318	Slightly_worse	After_6_mos	0.697762
319	Same	Now	1
320	Same	Now	1
321	Same	After_6_mos	0.892473
322	Severely_bad	After_12_mos	0.429236
323	Same	After_6_mos	0.892473
324	Slightly_worse	After_6_mos	0.697762
325	Severely_bad	After_12_mos	0.429236
326	Same	After_12_mos	0.267655
327	Severely_bad	After_12_mos	0.429236
328	Same	After_12_mos	0.267655
329	Same	Now	1
330	Same	Now	1
331	Slightly_worse	After_6_mos	0.697762
332	Same	After_6_mos	0.892473
333	Severely_bad	Now	0
334	Slightly_worse	Now	0.750073
335	Same	Now	1
336	Same	Now	1
337	Severely_bad	After_12_mos	0.429236
338	Slightly_worse	After_6_mos	0.697762
339	Same	After_6_mos	0.892473
340	Slightly_worse	After_6_mos	0.697762
341	Same	After_12_mos	0.267655
342	Severely_bad	After_6_mos	0.468323
343	Same	After_6_mos	0.892473
344	Slightly_worse	After_6_mos	0.697762
345	Severely_bad	After_12_mos	0.429236
346	Severely_bad	After_6_mos	0.468323
347	Severely_bad	After_12_mos	0.429236
348	Severely_bad	After_6_mos	0.468323
349	Same	Now	1
350	Same	Now	1
351	Severely_bad	After_6_mos	0.468323
352	Same	After_6_mos	0.892473
353	Severely_bad	After_6_mos	0.468323
354	Same	After_12_mos	0.267655
355	Slightly_worse	After_6_mos	0.697762
356	Same	Now	1
357	Same	Now	1
358	Same	After_6_mos	0.892473
359	Severely_bad	Now	0
360	Severely_bad	Now	0
361	Severely_bad	After_12_mos	0.429236
362	Slightly_worse	After_12_mos	0.622203
363	Same	After_12_mos	0.267655
364	Same	After_6_mos	0.892473
365	Severely_bad	After_6_mos	0.468323
366	Same	Now	1
367	Slightly_worse	Now	0.750073
368	Slightly_worse	Now	0.750073
369	Severely_bad	After_6_mos	0.468323
370	Severely_bad	Now	0
371	Slightly_worse	Now	0.750073
372	Slightly_worse	After_6_mos	0.697762
373	Same	After_12_mos	0.267655
374	Severely_bad	After_6_mos	0.468323
375	Same	After_12_mos	0.267655
376	Slightly_worse	After_6_mos	0.697762
377	Same	After_12_mos	0.267655
378	Same	After_12_mos	0.267655
379	Same	After_12_mos	0.267655
380	Severely_bad	Now	0
381	Same	Now	1
382	Same	After_6_mos	0.892473
383	Same	After_6_mos	0.892473
384	Slightly_worse	Now	0.750073
385	Same	After_6_mos	0.892473
386	Severely_bad	Now	0
387	Same	Now	1
388	Same	Now	1
389	Same	After_6_mos	0.892473
390	Severely_bad	After_6_mos	0.468323
391	Slightly_worse	Now	0.750073
392	Same	Now	1
393	Severely_bad	After_6_mos	0.468323
394	Slightly_worse	After_12_mos	0.622203
395	Severely_bad	After_12_mos	0.429236
396	Same	After_6_mos	0.892473
397	Same	Now	1
398	Severely_bad	After_12_mos	0.429236
399	Severely_bad	Now	0
400	Slightly_worse	Now	0.750073
401	Severely_bad	Now	0
402	Same	After_12_mos	0.267655
403	Slightly_worse	After_6_mos	0.697762
404	Same	After_6_mos	0.892473
405	Same	After_12_mos	0.267655
406	Same	Now	1
407	Slightly_worse	After_6_mos	0.697762
408	Severely_bad	Now	0
409	Slightly_worse	After_6_mos	0.697762
410	Same	Now	1
411	Severely_bad	After_6_mos	0.468323
412	Same	After_12_mos	0.267655
413	Slightly_worse	After_12_mos	0.622203
414	Slightly_worse	Now	0.750073
415	Slightly_worse	After_6_mos	0.697762
416	Severely_bad	After_12_mos	0.429236
417	Slightly_worse	Now	0.750073
418	Same	After_6_mos	0.892473
419	Severely_bad	Now	0
420	Slightly_worse	Now	0.750073
421	Slightly_worse	After_12_mos	0.622203
422	Severely_bad	After_12_mos	0.429236
423	Severely_bad	After_6_mos	0.468323
424	Same	After_12_mos	0.267655
425	Slightly_worse	After_6_mos	0.697762
426	Same	Now	1
427	Slightly_worse	After_6_mos	0.697762
428	Severely_bad	After_12_mos	0.429236
429	Severely_bad	After_6_mos	0.468323
430	Severely_bad	After_12_mos	0.429236
431	Severely_bad	After_12_mos	0.429236
432	Same	Now	1
433	Severely_bad	After_6_mos	0.468323
434	Same	After_12_mos	0.267655
435	Severely_bad	After_12_mos	0.429236
436	Severely_bad	After_12_mos	0.429236
437	Slightly_worse	After_12_mos	0.622203
438	Severely_bad	After_12_mos	0.429236
439	Slightly_worse	After_6_mos	0.697762
440	Same	After_12_mos	0.267655
441	Same	After_6_mos	0.892473
442	Slightly_worse	Now	0.750073
443	Same	After_6_mos	0.892473
444	Slightly_worse	Now	0.750073
445	Same	Now	1
446	Same	Now	1
447	Same	After_12_mos	0.267655
448	Same	After_6_mos	0.892473
449	Slightly_worse	After_6_mos	0.697762
450	Severely_bad	After_12_mos	0.429236
451	Same	After_12_mos	0.267655
452	Slightly_worse	Now	0.750073
453	Slightly_worse	After_12_mos	0.622203
454	Severely_bad	After_12_mos	0.429236
455	Same	Now	1
456	Same	Now	1
457	Slightly_worse	After_6_mos	0.697762
458	Slightly_worse	Now	0.750073
459	Severely_bad	After_6_mos	0.468323
460	Slightly_worse	After_12_mos	0.622203
461	Severely_bad	After_12_mos	0.429236
462	Slightly_worse	After_6_mos	0.697762
463	Same	Now	1
464	Severely_bad	After_6_mos	0.468323
465	Slightly_worse	After_6_mos	0.697762
466	Same	After_6_mos	0.892473
467	Same	After_12_mos	0.267655
468	Slightly_worse	After_6_mos	0.697762
469	Slightly_worse	After_12_mos	0.622203
470	Slightly_worse	After_12_mos	0.622203
471	Severely_bad	After_12_mos	0.429236
472	Severely_bad	After_12_mos	0.429236
473	Slightly_worse	After_12_mos	0.622203
474	Same	After_6_mos	0.892473
475	Same	After_6_mos	0.892473
476	Severely_bad	After_6_mos	0.468323
477	Same	After_6_mos	0.892473
478	Same	Now	1
479	Same	After_6_mos	0.892473
480	Slightly_worse	After_6_mos	0.697762
481	Same	After_12_mos	0.267655
482	Same	After_6_mos	0.892473
483	Same	After_6_mos	0.892473
484	Severely_bad	Now	0
485	Slightly_worse	Now	0.750073
486	Same	After_12_mos	0.267655
487	Same	After_12_mos	0.267655
488	Severely_bad	After_6_mos	0.468323
489	Same	After_6_mos	0.892473
490	Severely_bad	After_6_mos	0.468323
491	Same	After_6_mos	0.892473
492	Same	Now	1
493	Same	After_6_mos	0.892473
494	Slightly_worse	Now	0.750073
495	Same	After_6_mos	0.892473
496	Severely_bad	Now	0
497	Slightly_worse	After_12_mos	0.622203
498	Same	After_6_mos	0.892473
499	Same	After_12_mos	0.267655
500	Same	Now	1
501	Severely_bad	After_6_mos	0.468323
502	Severely_bad	Now	0
503	Severely_bad	After_12_mos	0.429236
504	Same	After_6_mos	0.892473
505	Slightly_worse	Now	0.750073
506	Severely_bad	After_6_mos	0.468323
507	Severely_bad	After_6_mos	0.468323
508	Same	Now	1
509	Same	After_12_mos	0.267655
510	Severely_bad	Now	0
511	Same	After_6_mos	0.892473
512	Same	After_12_mos	0.267655
513	Same	After_12_mos	0.267655
514	Slightly_worse	Now	0.750073
515	Severely_bad	After_12_mos	0.429236
516	Slightly_worse	After_6_mos	0.697762
517	Severely_bad	Now	0
518	Same	After_6_mos	0.892473
519	Severely_bad	Now	0
520	Slightly_worse	After_6_mos	0.697762
521	Severely_bad	After_12_mos	0.429236
522	Slightly_worse	Now	0.750073
523	Slightly_worse	After_6_mos	0.697762
524	Same	After_12_mos	0.267655
525	Slightly_worse	After_6_mos	0.697762
526	Severely_bad	After_6_mos	0.468323
527	Slightly_worse	After_12_mos	0.622203
528	Same	After_12_mos	0.267655
529	Severely_bad	Now	0
530	Severely_bad	After_12_mos	0.429236
531	Slightly_worse	After_6_mos	0.697762
532	Slightly_worse	After_12_mos	0.622203
533	Slightly_worse	After_6_mos	0.697762
534	Slightly_worse	After_12_mos	0.622203
535	Same	After_12_mos	0.267655
536	Same	After_12_mos	0.267655
537	Slightly_worse	After_12_mos	0.622203
538	Same	After_6_mos	0.892473
539	Severely_bad	After_6_mos	0.468323
540	Severely_bad	After_12_mos	0.429236
541	Severely_bad	After_6_mos	0.468323
542	Same	After_6_mos	0.892473
543	Same	After_12_mos	0.267655
544	Slightly_worse	Now	0.750073
545	Same	After_6_mos	0.892473
546	Same	Now	1
547	Slightly_worse	After_6_mos	0.697762
548	Same	Now	1
549	Slightly_worse	After_6_mos	0.697762
550	Severely_bad	After_6_mos	0.468323
551	Severely_bad	After_12_mos	0.429236
552	Same	Now	1
553	Same	After_6_mos	0.892473
554	Same	After_6_mos	0.892473
555	Same	After_6_mos	0.892473
556	Severely_bad	Now	0
557	Severely_bad	After_6_mos	0.468323
558	Slightly_worse	After_6_mos	0.697762
559	Slightly_worse	After_12_mos	0.622203
560	Same	After_12_mos	0.267655
561	Severely_bad	Now	0
562	Same	Now	1
563	Slightly_worse	After_12_mos	0.622203
564	Slightly_worse	Now	0.750073
565	Severely_bad	Now	0
566	Slightly_worse	After_12_mos	0.622203
567	Severely_bad	After_6_mos	0.468323
568	Severely_bad	After_6_mos	0.468323
569	Severely_bad	Now	0
570	Same	Now	1
571	Slightly_worse	After_6_mos	0.697762
572	Slightly_worse	Now	0.750073
573	Severely_bad	After_12_mos	0.429236
574	Severely_bad	After_6_mos	0.468323
575	Same	After_12_mos	0.267655
576	Slightly_worse	Now	0.750073
577	Severely_bad	After_12_mos	0.429236
578	Same	Now	1
579	Slightly_worse	After_12_mos	0.622203
580	Severely_bad	After_12_mos	0.429236
581	Severely_bad	After_12_mos	0.429236
582	Same	After_12_mos	0.267655
583	Slightly_worse	After_12_mos	0.622203
584	Same	After_12_mos	0.267655
585	Severely_bad	After_12_mos	0.429236
586	Slightly_worse	After_6_mos	0.697762
587	Slightly_worse	After_6_mos	0.697762
588	Same	After_12_mos	0.267655
589	Severely_bad	After_6_mos	0.468323
590	Slightly_worse	After_6_mos	0.697762
591	Severely_bad	After_6_mos	0.468323
592	Same	After_6_mos	0.892473
593	Severely_bad	After_6_mos	0.468323
594	Slightly_worse	Now	0.750073
595	Same	After_12_mos	0.267655
596	Slightly_worse	After_12_mos	0.622203
597	Same	Now	1
598	Same	After_6_mos	0.892473
599	Slightly_worse	After_12_mos	0.622203
600	Severely_bad	After_12_mos	0.429236
601	Same	After_6_mos	0.892473
602	Slightly_worse	After_12_mos	0.622203
603	Same	After_6_mos	0.892473
604	Same	Now	1
605	Slightly_worse	After_6_mos	0.697762
606	Same	After_12_mos	0.267655
607	Severely_bad	After_12_mos	0.429236
608	Slightly_worse	After_6_mos	0.697762
609	Severely_bad	After_12_mos	0.429236
610	Slightly_worse	Now	0.750073
611	Slightly_worse	Now	0.750073
612	Slightly_worse	After_12_mos	0.622203
613	Slightly_worse	After_12_mos	0.622203
614	Slightly_worse	After_12_mos	0.622203
615	Same	Now	1
616	Severely_bad	After_6_mos	0.468323
617	Slightly_worse	After_6_mos	0.697762
618	Slightly_worse	Now	0.750073
619	Severely_bad	Now	0
620	Slightly_worse	After_12_mos	0.622203
621	Severely_bad	Now	0
622	Same	After_6_mos	0.892473
623	Severely_bad	After_6_mos	0.468323
624	Severely_bad	After_12_mos	0.429236
625	Same	Now	1
626	Same	Now	1
627	Same	After_6_mos	0.892473
628	Same	After_6_mos	0.892473
629	Same	After_6_mos	0.892473
630	Same	After_12_mos	0.267655
631	Slightly_worse	After_6_mos	0.697762
632	Severely_bad	After_6_mos	0.468323
633	Same	After_6_mos	0.892473
634	Same	Now	1
635	Slightly_worse	Now	0.750073
636	Same	After_6_mos	0.892473
637	Slightly_worse	Now	0.750073
638	Slightly_worse	After_12_mos	0.622203
639	Severely_bad	After_12_mos	0.429236
640	Slightly_worse	Now	0.750073
641	Slightly_worse	After_12_mos	0.622203
642	Severely_bad	After_12_mos	0.429236
643	Severely_bad	After_12_mos	0.429236
644	Slightly_worse	Now	0.750073
645	Same	After_12_mos	0.267655
646	Same	Now	1
647	Severely_bad	After_12_mos	0.429236
648	Severely_bad	After_6_mos	0.468323
649	Same	After_6_mos	0.892473
650	Same	After_12_mos	0.267655
651	Same	After_6_mos	0.892473
652	Same	After_6_mos	0.892473
653	Same	After_6_mos	0.892473
654	Same	After_6_mos	0.892473
655	Slightly_worse	After_12_mos	0.622203
656	Same	After_6_mos	0.892473
657	Same	Now	1
658	Severely_bad	After_6_mos	0.468323
659	Severely_bad	Now	0
660	Slightly_worse	After_12_mos	0.622203
661	Same	After_12_mos	0.267655
662	Same	After_12_mos	0.267655
663	Slightly_worse	Now	0.750073
664	Slightly_worse	After_6_mos	0.697762
665	Same	Now	1
666	Slightly_worse	After_12_mos	0.622203
667	Severely_bad	Now	0
668	Same	After_6_mos	0.892473
669	Slightly_worse	After_12_mos	0.622203
670	Same	After_12_mos	0.267655
671	Slightly_worse	After_6_mos	0.697762
672	Same	Now	1
673	Severely_bad	Now	0
674	Severely_bad	After_12_mos	0.429236
675	Severely_bad	After_6_mos	0.468323
676	Slightly_worse	After_12_mos	0.622203
677	Slightly_worse	After_12_mos	0.622203
678	Same	After_6_mos	0.892473
679	Slightly_worse	After_6_mos	0.697762
680	Slightly_worse	After_6_mos	0.697762
681	Slightly_worse	After_6_mos	0.697762
682	Same	After_6_mos	0.892473
683	Same	Now	1
684	Slightly_worse	Now	0.750073
685	Slightly_worse	Now	0.750073
686	Severely_bad	After_6_mos	0.468323
687	Slightly_worse	After_6_mos	0.697762
688	Slightly_worse	Now	0.750073
689	Same	After_6_mos	0.892473
690	Severely_bad	After_6_mos	0.468323
691	Slightly_worse	Now	0.750073
692	Same	Now	1
693	Slightly_worse	After_6_mos	0.697762
694	Slightly_worse	Now	0.750073
695	Slightly_worse	After_12_mos	0.622203
696	Severely_bad	After_12_mos	0.429236
697	Slightly_worse	After_12_mos	0.622203
698	Slightly_worse	After_12_mos	0.622203
699	Same	Now	1
700	Severely_bad	Now	0
701	Severely_bad	After_12_mos	0.429236
702	Slightly_worse	After_6_mos	0.697762
703	Slightly_worse	After_6_mos	0.697762
704	Slightly_worse	Now	0.750073
705	Slightly_worse	After_6_mos	0.697762
706	Slightly_worse	After_12_mos	0.622203
707	Severely_bad	Now	0
708	Same	After_6_mos	0.892473
709	Slightly_worse	Now	0.750073
710	Slightly_worse	After_12_mos	0.622203
711	Same	After_12_mos	0.267655
712	Severely_bad	After_12_mos	0.429236
713	Same	Now	1
714	Severely_bad	Now	0
715	Same	Now	1
716	Severely_bad	After_6_mos	0.468323
717	Slightly_worse	After_6_mos	0.697762
718	Severely_bad	After_12_mos	0.429236
719	Same	After_6_mos	0.892473
720	Slightly_worse	After_12_mos	0.622203
721	Same	Now	1
722	Severely_bad	Now	0
723	Slightly_worse	After_6_mos	0.697762
724	Slightly_worse	After_12_mos	0.622203
725	Same	After_12_mos	0.267655
726	Same	After_6_mos	0.892473
727	Slightly_worse	After_6_mos	0.697762
728	Severely_bad	Now	0
729	Same	After_12_mos	0.267655
730	Severely_bad	After_6_mos	0.468323
731	Slightly_worse	Now	0.750073
732	Slightly_worse	After_6_mos	0.697762
733	Same	After_6_mos	0.892473
734	Severely_bad	After_6_mos	0.468323
735	Slightly_worse	Now	0.750073
736	Slightly_worse	After_6_mos	0.697762
737	Same	After_6_mos	0.892473
738	Same	Now	1
739	Severely_bad	After_6_mos	0.468323
740	Slightly_worse	After_12_mos	0.622203
741	Slightly_worse	After_12_mos	0.622203
742	Severely_bad	After_6_mos	0.468323
743	Severely_bad	After_6_mos	0.468323
744	Severely_bad	After_6_mos	0.468323
745	Slightly_worse	After_6_mos	0.697762
746	Severely_bad	After_12_mos	0.429236
747	Same	After_6_mos	0.892473
748	Same	Now	1
749	Slightly_worse	Now	0.750073
750	Same	After_6_mos	0.892473
751	Severely_bad	After_12_mos	0.429236
752	Severely_bad	Now	0
753	Severely_bad	Now	0
754	Same	After_12_mos	0.267655
755	Same	After_6_mos	0.892473
756	Same	After_6_mos	0.892473
757	Slightly_worse	After_12_mos	0.622203
758	Same	After_6_mos	0.892473
759	Same	After_6_mos	0.892473
760	Slightly_worse	Now	0.750073
761	Slightly_worse	After_12_mos	0.622203
762	Slightly_worse	After_12_mos	0.622203
763	Slightly_worse	After_12_mos	0.622203
764	Same	After_12_mos	0.267655
765	Same	Now	1
766	Same	After_6_mos	0.892473
767	Same	After_6_mos	0.892473
768	Severely_bad	After_12_mos	0.429236
769	Severely_bad	After_6_mos	0.468323
770	Severely_bad	After_6_mos	0.468323
771	Slightly_worse	After_12_mos	0.622203
772	Slightly_worse	Now	0.750073
773	Same	After_12_mos	0.267655
774	Same	Now	1
775	Same	After_12_mos	0.267655
776	Same	After_6_mos	0.892473
777	Slightly_worse	After_12_mos	0.622203
778	Slightly_worse	Now	0.750073
